City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
328,Nampula,MZ,69.06,overcast clouds,-15.1165,39.2666,Tacab Residencial
329,Paita,PE,76.23,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
331,Lima,PE,75.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
333,Rio Grande,BR,68.0,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
334,Shakawe,BW,68.65,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
340,Taraza,CO,77.14,broken clouds,7.5836,-75.4007,Hotel Monteverde
343,Mubi,NG,64.11,clear sky,10.2676,13.2644,Hotel
345,Pizarro,CO,77.34,light rain,4.9533,-77.366,Hotel Limonar
347,Xai-Xai,MZ,74.79,clear sky,-25.0519,33.6442,Complexo da Familia
349,Mayumba,GA,75.88,overcast clouds,-3.432,10.6554,LIKWALE LODGE
354,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
361,Soyo,AO,79.79,moderate rain,-6.1349,12.3689,Hotel Mpampa
365,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Bungalow 63
366,Lazaro Cardenas,MX,75.96,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
368,Jipijapa,EC,77.0,overcast clouds,-1.3333,-80.5833,Los Ceibos Internacional
369,Quelimane,MZ,75.0,broken clouds,-17.8786,36.8883,Hotel Flamingo
371,Tigre,AR,62.6,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
373,Mecca,SA,64.96,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
374,Labrea,BR,74.46,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
375,Marataizes,BR,75.24,clear sky,-21.0433,-40.8244,Ed. Barra Shopping
386,Santa Isabel Do Rio Negro,BR,75.7,broken clouds,-0.4139,-65.0192,Hotel GSA
389,Basco,PH,70.32,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
390,Cartagena,CO,77.0,clear sky,10.3997,-75.5144,Costa Del Sol
395,Impfondo,CG,71.62,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
398,Plettenberg Bay,ZA,64.98,clear sky,-34.0527,23.3716,Thanda Vista B&B
410,Coracao De Jesus,BR,77.0,clear sky,-16.6853,-44.365,Hotel Neves
425,Guia De Isora,ES,64.4,few clouds,28.2115,-16.7795,La Vista Pension
428,Myitkyina,MM,65.21,broken clouds,25.3833,97.4,Shwe Phyu Hotel
429,Yarada,IN,75.2,mist,17.65,83.2667,"D-26/2, Dolphin Hill,"
435,Bandarbeyla,SO,73.4,overcast clouds,9.4942,50.8122,JABIR HOTEL
440,Houma,US,68.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
441,Tautira,PF,77.0,moderate rain,-17.7333,-149.15,Pension Oaoa
446,Mwingi,KE,60.24,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
451,Nishihara,JP,68.0,few clouds,26.1842,127.7558,Minshuku Agaihama
452,Morondava,MG,78.08,clear sky,-20.2833,44.2833,La Case Bambou
453,Carutapera,BR,77.83,overcast clouds,-1.195,-46.02,Lidera
454,Montepuez,MZ,67.73,moderate rain,-13.1256,38.9997,Complexo Messalo
456,Nicoya,CR,78.8,clear sky,10.1483,-85.45200000000001,Guayacan Real
457,Domoni,KM,79.3,overcast clouds,-12.2569,44.5319,Al Djadid
461,Puerto Del Rosario,ES,64.4,mist,28.5004,-13.8627,Hotel JM Puerto del Rosario
462,Hirara,JP,69.8,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
465,Praia Da Vitoria,PT,64.4,broken clouds,38.7333,-27.0667,Hotel Branco I
467,Takoradi,GH,78.66,broken clouds,4.8845,-1.7554,Raybow International Hotel
472,Flinders,AU,68.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
476,Rio Blanco,MX,63.23,overcast clouds,18.8333,-97.15,Hotel L'orbe
477,Manta,EC,77.0,overcast clouds,-0.95,-80.7333,Balandra Hotel
478,Prachuap Khiri Khan,TH,78.8,clear sky,12.2167,99.75,สมบัติยาย
479,Gushikawa,JP,68.0,clear sky,26.3544,127.8686,Kirari Guest House
480,Tezu,IN,68.09,few clouds,27.9167,96.1667,Circuit House
482,Maragogi,BR,77.34,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
483,Dosso,NE,67.37,few clouds,13.049000000000001,3.1937,Hotel Toubal
485,Neuquen,AR,64.4,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
496,La Joya,MX,75.0,overcast clouds,18.6667,-99.4667,HOTEL BUGAMBILIAS
510,Bahir Dar,ET,61.29,clear sky,11.5936,37.3908,"Delano Hotel, Bahir Dar"
