City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Estelle,US,2021-01-30 19:55:39,29.8458,-90.1067,70.0,77,75,10.36
68,Anadyr,RU,2021-01-30 19:55:40,64.75,177.4833,-5.8,65,93,15.66
69,Bilibino,RU,2021-01-30 19:55:40,68.0546,166.4372,-27.6,79,1,5.55
70,Andenes,NO,2021-01-30 19:55:40,69.3143,16.1194,24.01,74,0,13.8
71,Adrar,MR,2021-01-30 19:55:40,20.5022,-10.0711,71.74,20,17,8.86
72,Hilo,US,2021-01-30 19:52:35,19.7297,-155.09,72.0,83,90,9.22
73,North Platte,US,2021-01-30 19:55:40,41.1239,-100.7654,30.2,80,90,17.27
74,Bambous Virieux,MU,2021-01-30 19:55:40,-20.3428,57.7575,79.0,89,20,5.75
75,Lagoa,PT,2021-01-30 19:55:40,39.05,-27.9833,62.26,89,44,29.04
76,Klaksvik,FO,2021-01-30 19:55:40,62.2266,-6.589,33.8,86,75,14.97
77,Yellowknife,CA,2021-01-30 19:55:11,62.456,-114.3525,-9.99,76,40,4.61
78,Lavrentiya,RU,2021-01-30 19:55:41,65.5833,-171.0,-18.78,83,0,6.78
79,Yining,CN,2021-01-30 19:55:41,29.0361,114.5636,44.33,78,84,1.07
80,Clyde River,CA,2021-01-30 19:55:41,70.4692,-68.5914,-16.6,76,1,7.16
81,Bideford,GB,2021-01-30 19:55:41,51.0179,-4.2046,41.0,91,68,18.01
82,Jalu,LY,2021-01-30 19:55:41,29.0331,21.5482,62.91,39,0,10.45
83,Katsuura,JP,2021-01-30 19:55:41,35.1333,140.3,35.6,60,20,3.44
84,Saskylakh,RU,2021-01-30 19:55:42,71.9167,114.0833,-36.35,80,100,9.62
85,Mandalgovi,MN,2021-01-30 19:55:42,45.7625,106.2708,14.59,87,80,13.91
86,Albany,US,2021-01-30 19:51:00,42.6001,-73.9662,21.0,45,11,5.01
87,Saint-Philippe,RE,2021-01-30 19:55:42,-21.3585,55.7679,78.8,65,0,4.61
88,Bonavista,CA,2021-01-30 19:55:42,48.6499,-53.1147,30.0,93,100,4.61
89,Matagami,CA,2021-01-30 19:55:42,49.7502,-77.6328,-2.2,92,90,9.22
90,Juxtlahuaca,MX,2021-01-30 19:55:42,17.4294,-99.1467,88.27,25,60,1.95
91,Ambulu,ID,2021-01-30 19:55:42,-8.345,113.6058,74.97,85,100,2.17
92,Houston,US,2021-01-30 19:54:37,29.7633,-95.3633,73.4,73,90,9.22
93,Airai,TL,2021-01-30 19:55:43,-8.9266,125.4092,62.06,100,100,5.5
94,Acarau,BR,2021-01-30 19:55:43,-2.8856,-40.12,83.8,67,88,17.6
95,Arraial Do Cabo,BR,2021-01-30 19:51:13,-22.9661,-42.0278,86.0,54,0,19.57
96,La Carlota,PH,2021-01-30 19:55:43,10.4233,122.9208,74.3,80,98,12.88
97,Almaznyy,RU,2021-01-30 19:55:43,48.0448,40.045,39.2,75,20,11.18
98,Vardo,NO,2021-01-30 19:55:43,70.3705,31.1107,24.39,96,100,21.9
99,Bijie,CN,2021-01-30 19:55:43,27.3125,105.2942,37.65,90,100,4.52
100,Richards Bay,ZA,2021-01-30 19:55:43,-28.783,32.0377,75.72,83,100,5.32
101,Arkhangelsk,RU,2021-01-30 19:54:11,64.5401,40.5433,23.0,93,90,6.71
102,Ribeira Grande,PT,2021-01-30 19:55:43,38.5167,-28.7,64.4,88,20,17.27
103,Zhaozhou,CN,2021-01-30 19:55:44,45.6833,125.3167,-16.01,87,97,6.89
104,Mathathane,BW,2021-01-30 19:55:44,-22.2687,28.7495,80.96,61,86,15.59
105,Mar Del Plata,AR,2021-01-30 19:53:48,-38.0023,-57.5575,62.6,59,90,18.41
106,Bagdarin,RU,2021-01-30 19:55:44,54.4333,113.6,-30.62,77,0,2.57
107,Chuy,UY,2021-01-30 19:55:44,-33.6971,-53.4616,79.83,60,23,14.32
108,Bluff,NZ,2021-01-30 19:55:44,-46.6,168.3333,48.0,80,99,8.01
109,Barrow,US,2021-01-30 19:55:02,71.2906,-156.7887,-9.4,77,90,10.36
110,Chengam,IN,2021-01-30 19:55:45,12.3,78.8,67.39,79,0,1.97
111,Husavik,IS,2021-01-30 19:55:45,66.0449,-17.3389,17.6,67,90,3.44
112,Ust-Karsk,RU,2021-01-30 19:55:45,52.7011,118.8077,-25.19,82,100,2.06
113,Lebu,CL,2021-01-30 19:55:45,-37.6167,-73.65,62.01,70,8,11.36
114,Haines Junction,CA,2021-01-30 19:55:45,60.7522,-137.5108,-5.8,77,100,0.83
115,Pacific Grove,US,2021-01-30 19:55:45,36.6177,-121.9166,57.0,62,40,5.75
116,Castro,BR,2021-01-30 19:55:45,-24.7911,-50.0119,69.08,94,98,5.03
117,Saint George,US,2021-01-30 19:51:42,37.1041,-113.5841,46.99,67,6,0.31
118,Lyuban,BY,2021-01-30 19:55:46,52.7985,28.0048,21.38,98,100,4.99
119,Hermanus,ZA,2021-01-30 19:55:46,-34.4187,19.2345,66.0,84,5,1.99
120,Inhapim,BR,2021-01-30 19:55:46,-19.5492,-42.12,80.44,65,14,4.76
121,Dargaville,NZ,2021-01-30 19:55:46,-35.9333,173.8833,63.16,66,0,5.41
122,Kalmunai,LK,2021-01-30 19:55:46,7.4167,81.8167,76.84,85,92,6.42
123,Ponta Do Sol,PT,2021-01-30 19:55:46,32.6667,-17.1,62.01,75,65,1.68
124,Bengkulu,ID,2021-01-30 19:55:46,-3.8004,102.2655,75.34,88,100,5.84
125,Sola,VU,2021-01-30 19:55:46,-13.8833,167.55,81.12,79,94,17.81
126,Fortuna,US,2021-01-30 19:55:46,40.5982,-124.1573,55.99,71,90,24.16
127,Puerto Ayora,EC,2021-01-30 19:55:47,-0.7393,-90.3518,86.0,66,0,16.11
128,Alofi,NU,2021-01-30 19:55:47,-19.0595,-169.9187,77.0,94,100,5.75
129,Te Anau,NZ,2021-01-30 19:55:47,-45.4167,167.7167,49.42,82,90,1.9
130,Palmer,US,2021-01-30 19:55:47,42.1584,-72.3287,25.0,36,20,3.44
131,Cockburn Town,TC,2021-01-30 19:55:47,21.4612,-71.1419,75.2,46,20,11.5
132,Victoria,HK,2021-01-30 19:52:31,22.2855,114.1577,62.01,75,17,1.01
133,Marsabit,KE,2021-01-30 19:55:47,2.3284,37.9899,69.8,42,64,10.25
134,Esperance,AU,2021-01-30 19:55:47,-33.8667,121.9,57.2,88,0,9.22
135,Waipawa,NZ,2021-01-30 19:55:47,-41.4122,175.5153,59.0,77,29,5.75
136,Oum Hadjer,TD,2021-01-30 19:55:48,13.2954,19.6966,76.6,18,0,11.12
137,Kaitangata,NZ,2021-01-30 19:55:48,-46.2817,169.8464,53.01,86,70,5.01
138,Krasnoselkup,RU,2021-01-30 19:55:48,65.7,82.4667,-31.32,81,90,8.55
139,Sokolka,PL,2021-01-30 19:55:48,53.4072,23.5023,26.01,91,100,8.5
140,Petropavlovsk-Kamchatskiy,RU,2021-01-30 19:55:43,53.0452,158.6483,26.6,59,40,15.66
141,Geraldton,AU,2021-01-30 19:55:48,-28.7667,114.6,84.2,24,0,18.41
142,Paamiut,GL,2021-01-30 19:55:48,61.994,-49.6678,28.4,88,99,14.76
143,Baghdad,IQ,2021-01-30 19:55:43,33.3406,44.4009,48.2,57,0,3.44
144,Aklavik,CA,2021-01-30 19:55:48,68.2191,-135.0107,-20.2,76,75,3.44
145,Tuktoyaktuk,CA,2021-01-30 19:55:48,69.4541,-133.0374,-36.4,74,40,1.54
146,Kungurtug,RU,2021-01-30 19:55:49,50.5994,97.5228,-2.31,85,88,6.17
147,Tabas,IR,2021-01-30 19:55:49,33.5959,56.9244,58.39,41,61,10.67
148,Lindi,TZ,2021-01-30 19:55:49,-10.0,39.7167,76.19,92,81,3.94
149,Prince Rupert,CA,2021-01-30 19:55:49,54.3161,-130.3201,39.2,75,90,4.61
150,La Palma,US,2021-01-30 19:52:00,33.8464,-118.0467,62.01,62,20,2.01
151,Bethel,US,2021-01-30 19:55:03,41.3712,-73.414,27.0,39,1,11.5
152,Lagunas,PE,2021-01-30 19:55:49,-5.2269,-75.6753,90.34,50,100,1.68
153,Souillac,MU,2021-01-30 19:55:49,-20.5167,57.5167,78.8,89,20,5.75
154,Ancud,CL,2021-01-30 19:55:49,-41.8697,-73.8203,68.0,45,0,6.91
155,Altay,CN,2021-01-30 19:55:49,47.8667,88.1167,7.61,77,0,2.84
156,Namibe,AO,2021-01-30 19:55:50,-15.1961,12.1522,73.69,78,50,9.55
157,Singkang,MY,2021-01-30 19:55:50,2.1006,102.7994,75.2,83,20,3.44
158,Christchurch,NZ,2021-01-30 19:55:50,-43.5333,172.6333,61.0,77,75,16.11
159,Touros,BR,2021-01-30 19:55:50,-5.1989,-35.4608,86.0,58,20,12.66
160,Cayenne,GF,2021-01-30 19:55:50,4.9333,-52.3333,80.6,94,75,10.36
161,Pacifica,US,2021-01-30 19:51:43,37.6138,-122.4869,57.0,71,75,3.44
162,Thana,PK,2021-01-30 19:55:50,34.6369,72.0739,46.9,44,0,5.77
163,Gardner,US,2021-01-30 19:55:50,42.5751,-71.9981,19.99,42,1,14.97
164,Viedma,AR,2021-01-30 19:55:50,-40.8135,-62.9967,73.0,38,36,1.01
165,Sheridan,US,2021-01-30 19:54:45,44.8333,-106.9173,36.0,69,90,9.22
166,Zhigalovo,RU,2021-01-30 19:55:51,54.8097,105.1578,-20.33,83,100,5.44
167,Nabire,ID,2021-01-30 19:55:51,-3.3667,135.4833,76.05,87,100,2.44
168,Macon,US,2021-01-30 19:55:51,39.8667,-88.9668,35.6,80,90,16.11
169,Taoudenni,ML,2021-01-30 19:55:51,22.6783,-3.9836,74.64,19,0,9.82
