City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
399,Karratha,AU,-20.7377,116.8463,93.83,42,90,8.72,overcast clouds
400,Piney Green,US,34.716,-77.3202,41.0,60,40,5.75,scattered clouds
401,Baruun-Urt,MN,46.6806,113.2792,8.19,95,100,2.82,light snow
402,Bogandinskiy,RU,56.8937,65.8938,12.2,92,75,4.47,light snow
403,Barcelos,PT,41.5388,-8.6151,53.6,100,75,3.44,light rain
404,Ostersund,SE,63.1792,14.6357,7.0,92,90,1.74,snow
405,Fiche,ET,9.8,38.7333,43.99,54,12,3.36,few clouds
406,Mombetsu,JP,44.3525,143.3525,23.0,86,75,2.3,light snow
407,Umba,RU,66.6871,34.3429,13.69,96,100,6.29,light snow
408,Thessalon,CA,46.2501,-83.5666,19.4,68,1,13.02,clear sky
409,Yerbogachen,RU,61.2767,108.0108,-31.81,82,52,6.31,broken clouds
410,Coracao De Jesus,BR,-16.6853,-44.365,77.0,50,0,6.89,clear sky
411,Baraboo,US,43.4711,-89.7443,30.0,100,90,12.66,snow
412,Nyurba,RU,63.2842,118.3319,-38.34,80,99,2.98,overcast clouds
413,Merauke,ID,-8.4667,140.3333,83.43,79,100,16.33,overcast clouds
414,Roald,NO,62.5833,6.1333,32.0,93,75,8.05,broken clouds
415,Aklavik,CA,68.2191,-135.0107,-27.4,75,100,1.14,overcast clouds
416,Asyut,EG,27.181,31.1837,44.6,65,0,4.61,clear sky
417,Balabac,PH,7.9868,117.0645,82.13,74,61,22.73,broken clouds
418,Warrington,GB,53.3925,-2.5802,35.01,86,100,10.36,overcast clouds
419,Zapolyarnyy,RU,69.4154,30.8136,24.8,93,75,6.91,light snow
420,Barentu,ER,15.1139,37.5928,57.51,88,0,4.18,clear sky
421,Southbridge,US,42.0751,-72.0334,10.0,44,0,4.59,clear sky
422,Nome,US,64.5011,-165.4064,-5.8,77,1,4.61,clear sky
423,Inuvik,CA,68.3499,-133.7218,-27.4,75,100,1.14,overcast clouds
424,Fukue,JP,32.6881,128.8419,55.4,58,40,4.61,scattered clouds
425,Guia De Isora,ES,28.2115,-16.7795,64.4,77,20,10.36,few clouds
426,Mandan,US,46.8267,-100.8896,24.8,100,90,10.36,mist
427,Amurzet,RU,47.6967,131.0981,-7.55,82,0,3.87,clear sky
428,Myitkyina,MM,25.3833,97.4,65.21,60,76,3.33,broken clouds
429,Yarada,IN,17.65,83.2667,75.2,88,40,3.44,mist
430,Khani,GE,41.9563,42.9566,44.6,61,0,11.5,clear sky
431,Port Hardy,CA,50.6996,-127.4199,44.6,87,90,17.27,moderate rain
432,Berea,US,41.3662,-81.8543,30.0,59,90,9.22,overcast clouds
433,Ust-Maya,RU,60.4167,134.5333,-33.83,79,100,2.66,overcast clouds
434,Savinka,RU,50.0785,47.0994,22.37,96,74,9.82,broken clouds
435,Bandarbeyla,SO,9.4942,50.8122,73.4,71,96,15.12,overcast clouds
436,Shenkursk,RU,62.1091,42.896,15.67,96,97,7.16,overcast clouds
437,Half Moon Bay,US,37.4636,-122.4286,53.6,76,20,3.44,few clouds
438,Tadine,NC,-21.55,167.8833,79.77,73,35,20.58,scattered clouds
439,Viedma,AR,-40.8135,-62.9967,55.99,70,53,7.47,broken clouds
440,Houma,US,29.5958,-90.7195,68.0,82,90,9.22,overcast clouds
441,Tautira,PF,-17.7333,-149.15,77.0,83,75,19.57,moderate rain
442,Hakui,JP,36.8833,136.7833,42.01,87,75,2.3,broken clouds
443,Mitsamiouli,KM,-11.3847,43.2844,81.86,78,97,11.86,overcast clouds
444,Katobu,ID,-4.9408,122.5276,83.28,74,100,7.23,overcast clouds
445,Ladesti,RO,44.8833,24.05,39.99,93,0,3.44,clear sky
446,Mwingi,KE,-0.9344,38.0601,60.24,82,81,1.16,broken clouds
447,Ginda,IN,30.6945,78.4932,45.99,36,0,2.46,clear sky
448,Bairiki,KI,1.3292,172.9752,86.0,70,40,10.36,scattered clouds
449,Salisbury,GB,51.0693,-1.7957,37.99,81,90,8.05,overcast clouds
450,Opuwo,NA,-18.0607,13.84,70.95,50,100,2.98,overcast clouds
451,Nishihara,JP,26.1842,127.7558,68.0,34,20,14.97,few clouds
452,Morondava,MG,-20.2833,44.2833,78.08,86,4,7.96,clear sky
453,Carutapera,BR,-1.195,-46.02,77.83,85,100,5.91,overcast clouds
454,Montepuez,MZ,-13.1256,38.9997,67.73,99,88,2.91,moderate rain
455,Karaton,ID,-6.3424,106.1045,84.0,83,40,10.36,moderate rain
456,Nicoya,CR,10.1483,-85.452,78.8,61,0,17.27,clear sky
457,Domoni,KM,-12.2569,44.5319,79.3,78,100,7.31,overcast clouds
458,Okotoks,CA,50.7289,-113.9828,23.0,79,10,4.99,clear sky
459,Mahibadhoo,MV,3.7833,72.9667,81.16,75,1,11.3,clear sky
460,Westerland,DE,54.9079,8.3033,35.6,87,20,9.22,few clouds
461,Puerto Del Rosario,ES,28.5004,-13.8627,64.4,88,90,20.71,mist
462,Hirara,JP,24.8,125.2833,69.8,49,20,14.97,few clouds
463,Atbasar,KZ,51.8,68.3333,16.12,93,100,7.83,overcast clouds
464,Bhawana,PK,31.5692,72.649,50.23,41,0,4.61,clear sky
465,Praia Da Vitoria,PT,38.7333,-27.0667,64.4,88,75,13.56,broken clouds
466,Korla,CN,41.7597,86.1469,23.11,81,0,5.01,clear sky
467,Takoradi,GH,4.8845,-1.7554,78.66,90,76,8.05,broken clouds
468,Adrar,MR,20.5022,-10.0711,63.99,26,62,7.52,broken clouds
469,Rawah,IQ,34.4816,41.9093,49.68,56,100,12.44,overcast clouds
470,Kodinsk,RU,58.6881,99.1844,-38.04,78,45,1.59,scattered clouds
471,Tevriz,RU,57.509,72.4042,4.55,94,100,9.89,overcast clouds
472,Flinders,AU,-34.5833,150.8552,68.0,95,96,1.01,overcast clouds
473,Dali,CN,25.7,100.1833,52.03,54,0,8.16,clear sky
474,Bhag,PK,29.0415,67.8239,58.71,29,0,3.62,clear sky
475,Upernavik,GL,72.7868,-56.1549,-9.27,84,79,5.14,broken clouds
476,Rio Blanco,MX,18.8333,-97.15,63.23,58,93,3.02,overcast clouds
477,Manta,EC,-0.95,-80.7333,77.0,88,90,5.75,overcast clouds
478,Prachuap Khiri Khan,TH,12.2167,99.75,78.8,69,2,4.61,clear sky
479,Gushikawa,JP,26.3544,127.8686,68.0,49,1,9.22,clear sky
480,Tezu,IN,27.9167,96.1667,68.09,26,24,1.54,few clouds
